form	lemmaId	lemma	linkType	pos	via	note
nyngeint	keint.n	keint	univerbated	s.	nyn geint	
geint	keint.n	keint	particle	s.	nyn geint	
keird	keird.n	keird	self	s. f.	keird	
keirdyn	keird.n	keird	inflected	s. f.	keird	
yn cheird	keird.n	keird	self	s.	yn cheird	
yncheird	keird.n	keird	self	s.	yn cheird	collapsed
yncheird	keird.n	keird	univerbated	s.	yn cheird	
cheird	keird.n	keird	particle	s.	yn cheird	
cheird	keird.n	keird	demutated	s. f.	yn cheird	
nyn geird	keird.n	keird	self	s.	nyn geird	
nyngeird	keird.n	keird	self	s.	nyn geird	collapsed
nyngeird	keird.n	keird	univerbated	s.	nyn geird	
geird	keird.n	keird	particle	s.	nyn geird	
keirdey	keirdey.a	keirdey	self	a. d.	keirdey	
cheirdey	keirdey.a	keirdey	self	a. d.	cheirdey	
cheirdey	keirdey.a	keirdey	demutated	a. d.	cheirdey	
keirdagh	keirdagh.n	keirdagh	self	s. m.	keirdagh	
keirdee	keirdagh.n	keirdagh	inflected	s. m.	keirdagh	
keirn	keirn.n	keirn	self	s. m.	keirn	
yn cheirn	keirn.n	keirn	self	s.	yn cheirn	
yncheirn	keirn.n	keirn	self	s.	yn cheirn	collapsed
yncheirn	keirn.n	keirn	univerbated	s.	yn cheirn	
cheirn	keirn.n	keirn	particle	s.	yn cheirn	
cheirn	keirn.n	keirn	demutated	s. m.	yn cheirn	
keish	keish.a	keish	self	a.	keish	
keish	keish.n	keish	self	s. f.	keish	
yn cheish	keish.n	keish	self	s.	yn cheish	
yncheish	keish.n	keish	self	s.	yn cheish	collapsed
yncheish	keish.n	keish	univerbated	s.	yn cheish	
cheish	keish.n	keish	particle	s.	yn cheish	
cheish	keish.a	keish	demutated	a.	yn cheish	
keishid	keishid.n	keishid	self	s. m.	keishid	
keiyn	keiyn.a	keiyn	self	a.	keiyn	
dy keiyn	keiyn.x	keiyn	self	adv.	dy keiyn	
dykeiyn	keiyn.x	keiyn	self	adv.	dy keiyn	collapsed
dykeiyn	keiyn.x	keiyn	univerbated	adv.	dy keiyn	
keiyn	keiyn.x	keiyn	particle	adv.	dy keiyn	
keayn	keayn.x	keayn	self	adv.	keayn	
feer cheiyn	feer-cheiyn.a	feer cheiyn	self	a.	feer cheiyn	demutation-unvalidated
feercheiyn	feer-cheiyn.a	feer cheiyn	self	a.	feer cheiyn	collapsed
feercheiyn	feer-cheiyn.a	feercheiyn	univerbated	a.	feer cheiyn	
kelk	kelk.n	kelk	self	s. m.	kelk	
kelkyn	kelk.n	kelk	inflected	s. m.	kelk	
yn chelk	kelk.n	kelk	self	s.	yn chelk	
ynchelk	kelk.n	kelk	self	s.	yn chelk	collapsed
ynchelk	kelk.n	kelk	univerbated	s.	yn chelk	
chelk	kelk.n	kelk	particle	s.	yn chelk	
chelk	kelk.n	kelk	demutated	s. m.	yn chelk	
nyn gelk	kelk.n	kelk	self	s.	nyn gelk	
nyngelk	kelk.n	kelk	self	s.	nyn gelk	collapsed
nyngelk	kelk.n	kelk	univerbated	s.	nyn gelk	
gelk	kelk.n	kelk	particle	s.	nyn gelk	
kelk	kelk.v	kelk	self	v.	kelk	
kelkagh	kelk.v	kelk	inflected	v.	kelk	
kelkee	kelk.v	kelk	inflected	v.	kelk	
kelkin	kelk.v	kelk	inflected	v.	kelk	
kelkins	kelk.v	kelk	inflected	v.	kelk	
kelkym	kelk.v	kelk	inflected	v.	kelk	
kelkyms	kelk.v	kelk	inflected	v.	kelk	
kelkal	kelkal.v	kelkal	self	v.	kelkal	
kelkit	kelkit.x	kelkit	self		kelkit	
kelkeyder	kelkeyder.n	kelkeyder	self	s. m.	kelkeyder	
kelkeyderyn	kelkeyder.n	kelkeyder	inflected	s. m.	kelkeyder	
kellagh	kellagh.n	kellagh	self	s. m.	kellagh	
kellee	kellagh.n	kellagh	inflected	s. m.	kellagh	
yn chellagh	kellagh.n	kellagh	self	s.	yn chellagh	
ynchellagh	kellagh.n	kellagh	self	s.	yn chellagh	collapsed
ynchellagh	kellagh.n	kellagh	univerbated	s.	yn chellagh	
chellagh	kellagh.n	kellagh	particle	s.	yn chellagh	
chellagh	kellagh.n	kellagh	demutated	s. m.	yn chellagh	
nyn gellagh	kellagh.n	kellagh	self	s.	nyn gellagh	
nyngellagh	kellagh.n	kellagh	self	s.	nyn gellagh	collapsed
nyngellagh	kellagh.n	kellagh	univerbated	s.	nyn gellagh	
gellagh	kellagh.n	kellagh	particle	s.	nyn gellagh	
nyn gellee	kellagh.n	kellagh	inflected	s.	nyn gellagh	
nyngellee	kellagh.n	kellagh	inflected	s.	nyn gellagh	collapsed
nyngellee	kellagh.n	kellagh	univerbated	s.	nyn gellagh	
gellee	kellagh.n	kellagh	inflected	s.	nyn gellagh	
kellee	kellee.a	kellee	self	a. d.	kellee	
chellee	kellee.a	kellee	self	a. d.	chellee	
chellee	kellee.a	kellee	demutated	a. d.	chellee	
kemmyrk	kemmyrk.n	kemmyrk	self	s. f.	kemmyrk	
yn chemmyrk	kemmyrk.n	kemmyrk	self	s.	yn chemmyrk	
ynchemmyrk	kemmyrk.n	kemmyrk	self	s.	yn chemmyrk	collapsed
ynchemmyrk	kemmyrk.n	kemmyrk	univerbated	s.	yn chemmyrk	
chemmyrk	kemmyrk.n	kemmyrk	particle	s.	yn chemmyrk	
chemmyrk	kemmyrk.n	kemmyrk	demutated	s. f.	yn chemmyrk	
nyn gemmyrk	kemmyrk.n	kemmyrk	self	s.	nyn gemmyrk	
nyngemmyrk	kemmyrk.n	kemmyrk	self	s.	nyn gemmyrk	collapsed
nyngemmyrk	kemmyrk.n	kemmyrk	univerbated	s.	nyn gemmyrk	
gemmyrk	kemmyrk.n	kemmyrk	particle	s.	nyn gemmyrk	
kemmyrkagh	kemmyrkagh.n	kemmyrkagh	self	s. m.	kemmyrkagh	
kemmyrkee	kemmyrkagh.n	kemmyrkagh	inflected	s. m.	kemmyrkagh	
yn chemmyrkagh	kemmyrkagh.x	kemmyrkagh	self		yn chemmyrkagh	
ynchemmyrkagh	kemmyrkagh.x	kemmyrkagh	self		yn chemmyrkagh	collapsed
ynchemmyrkagh	kemmyrkagh.x	kemmyrkagh	univerbated		yn chemmyrkagh	
chemmyrkagh	kemmyrkagh.x	kemmyrkagh	particle		yn chemmyrkagh	
chemmyrkagh	kemmyrkagh.n	kemmyrkagh	demutated	s. m.	yn chemmyrkagh	
yn chemmyrkee	kemmyrkagh.x	kemmyrkagh	inflected		yn chemmyrkagh	
ynchemmyrkee	kemmyrkagh.x	kemmyrkagh	inflected		yn chemmyrkagh	collapsed
ynchemmyrkee	kemmyrkagh.x	kemmyrkagh	univerbated		yn chemmyrkagh	
chemmyrkee	kemmyrkagh.x	kemmyrkagh	inflected		yn chemmyrkagh	
kenjal	kenjal.a	kenjal	self	a.	kenjal	
s'kenjal	s'kenjal.a	s'kenjal	self	a.	s'kenjal	demutation-unvalidated
kenjal	s'kenjal.a	s'kenjal	mutation	a.	s'kenjal	demutation-unvalidated
s'kenjaley	s'kenjaley.a	s'kenjaley	self	a. id.	s'kenjaley	demutation-unvalidated
